# Alle data i liter. Punktum som desimal. Komma som skilleteikn.
# Elevnummer er tilfeldig trekt frå klasselista. 
elev,dato,ukedag,håndvask,dusj,drikkevann,toalett,matlaging,oppvask,klesvask,annet
1,2024-09-16,mandag,0.2,264.0,3.0,30.0,15,18.0,55.0,0.0
1,2024-09-17,tirsdag,0.35,312.0,2.5,35.0,12,18.0,0.0,0.0
1,2024-09-18,onsdag,0.2,204.0,2.5,30.0,10,18.0,55.0,0.0
1,2024-09-19,torsdag,6.0,252.0,2.5,28.0,12,18.0,0.0,0.0
1,2024-09-20,fredag,8.0,240.0,3.0,30.0,12,18.0,55.0,0.0
1,2024-09-21,lørdag,8.0,240.0,2.0,26.0,15,18.0,0.0,0.0
1,2024-09-22,søndag,10.0,360.0,3.0,30.0,20,18.0,55.0,0.0
2,2024-09-16,mandag,9.0,74.0,2.4,23.0,4.5,5.0,0.0,0.0
2,2024-09-17,tirsdag,9.5,65.0,2.6,16.0,6.4,8.3,0.0,0.0
2,2024-09-18,onsdag,12.0,72.5,2.5,18.0,1.5,10.0,0.0,0.0
2,2024-09-19,torsdag,13.0,80.5,2.2,15.0,1.2,15.0,0.0,0.0
2,2024-09-20,fredag,10.5,68.5,2.3,18.0,1.4,12.0,0.0,0.0
2,2024-09-21,lørdag,12.0,72.5,1.9,16.0,2.2,10.5,15.0,0.0
2,2024-09-22,søndag,12.5,74.5,1.8,12.0,2.5,5.0,0.0,0.0
3,2024-09-16,mandag,32.0,84.0,2.6,19.0,0,4.0,26.6,0.0
3,2024-09-17,tirsdag,42.4,25.8,3.2,16.0,0,6.0,26.6,2.0
3,2024-09-18,onsdag,46.0,76.0,1.2,9.0,4,3.0,26.6,1.5
3,2024-09-19,torsdag,31.6,14.4,1.4,16.0,0,4.0,26.6,0.0
3,2024-09-20,fredag,48.0,84.0,3.6,19.0,3,6.0,26.6,0.0
3,2024-09-21,lørdag,30.1,34.0,3.8,16.0,1.4,3.0,26.6,5.0
3,2024-09-22,søndag,40.5,96.0,1.4,16.0,5,3.0,13.3,4.0
4,2024-09-16,mandag,18.3,100.0,4.0,0.0,0,0.0,0.0,0.0
4,2024-09-17,tirsdag,21.0,140.0,3.0,36.0,0,0.0,0.0,0.0
4,2024-09-18,onsdag,18.3,160.0,4.0,45.0,0,0.0,27.5,0.0
4,2024-09-19,torsdag,17.0,140.0,2.5,36.0,0,0.0,0.0,0.0
4,2024-09-20,fredag,17.7,0.0,2.5,36.0,0,0.0,0.0,0.0
4,2024-09-21,lørdag,18.3,0.0,2.0,45.0,0,0.0,14.0,0.0
4,2024-09-22,søndag,17.7,140.0,2.5,36.0,0,0.0,28.0,0.0
